Player,Team,ADP
"Josh Downs","IND","103"
"Jake Ferguson","DAL","122"
"Jerome Ford","CLE","152"
"Marvin Mims Jr.","DEN","135"
"Ray Davis","BUF","146"
"Tre' Harris","LAC","128"
"Luther Burden III","CHI","133"
"Rico Dowdle","CAR","134"
"Christian Kirk","HOU","138"
"Braelon Allen","NYJ","174"
"Tua Tagovailoa","MIA","162"
"Nick Chubb","HOU","172"
"Hunter Henry","NE","156"
"Dylan Sampson","CLE","168"
"Denver Broncos","DST","155"
"Zach Ertz","WAS","158"
"Philadelphia Eagles","DST","151"
"Jaylen Wright","MIA","175"
"Michael Penix Jr.","ATL","166"
"Keenan Allen","LAC","184"
"Bryce Young","CAR","171"
"Jalen McMillan","TB","141"
"Cameron Ward","TEN","161"
"Matthew Stafford","LAR","163"
"Rashod Bateman","BAL","148"
"DeAndre Hopkins","BAL","183"
"Kyle Williams","NE","143"
"Brenton Strange","JAC","179"
"Isaiah Likely","BAL","154"
"Pittsburgh Steelers","DST","160"
"Cedric Tillman","CLE","176"
"Geno Smith","LV","186"
"Cade Otton","TB","180"
"Sam Darnold","SEA","192"
"Wan'Dale Robinson","NYG","181"
"Minnesota Vikings","DST","167"
"Mason Taylor","NYJ","170"
"Justice Hill","BAL","203"
"Anthony Richardson Sr.","IND","188"
"Aaron Rodgers","PIT","194"
"Kyle Monangai","CHI","208"
"DeMario Douglas","NE","198"
"Romeo Doubs","GB","185"
"Roschon Johnson","CHI","178"
"Brandon Aubrey","DAL","229"
"Baltimore Ravens","DST","191"
"Houston Texans","DST","202"
"Joshua Palmer","BUF","187"
"Chig Okonkwo","TEN","207"
"Mike Gesicki","CIN","169"
"Quentin Johnston","LAC","173"
"Kareem Hunt","KC","216"
"Blake Corum","LAR","177"
"Cameron Dicker","LAC","230"
"San Francisco 49ers","DST","164"
"Jarquez Hunter","LAR","218"
"Buffalo Bills","DST","238"
"Dalton Schultz","HOU","201"
"Russell Wilson","NYG","219"
"Alec Pierce","IND","197"
"DJ Giddens","IND","209"
"Brashard Smith","KC","193"
"Washington Commanders","DST","157"
"Jake Bates","DET","233"
"Kansas City Chiefs","DST","204"
"MarShawn Lloyd","GB","205"
"Detroit Lions","DST","199"
"Ka'imi Fairbairn","HOU","231"
"Woody Marks","HOU","252"
"Will Shipley","PHI","223"
"Miles Sanders","DAL","239"
"Elijah Arroyo","SEA","241"
"Pat Bryant","DEN","200"
"Tyler Shough","NO","237"
"Harrison Butker","KC","235"
"Ja'Tavion Sanders","CAR","215"
"Jaxson Dart","NYG","213"
"Darren Waller","MIA","232"
"Shedeur Sanders","CLE","227"
"Daniel Jones","IND","244"
"Jalen Royals","KC","211"
"Tahj Brooks","CIN","258"
"Jacory Croskey-Merritt","WAS","284"
"Devin Neal","NO","189"
"Keaton Mitchell","BAL","265"
"Cole Kmet","CHI","220"
"Tyler Bass","BUF","234"
"Chase McLaughlin","TB","276"
"Jaylin Noel","HOU","210"
"Los Angeles Rams","DST","256"
"Tampa Bay Buccaneers","DST","196"
"Juwan Johnson","NO","228"
"New York Giants","DST","245"
"Terrance Ferguson","LAR","206"
"Michael Wilson","ARI","214"
"Joe Flacco","CLE","286"
"Chris Boswell","PIT","275"
"Evan McPherson","CIN","236"
"Green Bay Packers","DST","250"
"Dont'e Thornton Jr.","LV","281"
"Amari Cooper","","190"
"Darius Slayton","NYG","254"
"Dyami Brown","JAC","247"
"Seattle Seahawks","DST","195"
"Jake Elliott","PHI","278"
"Raheem Mostert","LV","267"
"Jaleel McLaughlin","DEN","222"
"Jordan James","SF","212"
"Jason Sanders","MIA","280"
"Zack Moss","","272"
"Wil Lutz","DEN","309"
"Ollie Gordon II","MIA","257"
"Theo Johnson","NYG","226"
"Tyler Lockett","TEN","217"
"Audric Estime","DEN","271"
"Dallas Cowboys","DST","287"
"Trevor Etienne","CAR","255"
"New York Jets","DST","243"
"Los Angeles Chargers","DST","253"
"Adonai Mitchell","IND","221"
"Elic Ayomanor","TEN","225"
"Antonio Gibson","NE","303"
"Isaac TeSlaa","DET","266"
"Dontayvion Wicks","GB","224"
"Kirk Cousins","ATL","300"
"Jalen Milroe","SEA","262"
"Calvin Austin III","PIT","249"
"Tyler Conklin","LAC","270"
"Brandon McManus","GB",""
"New England Patriots","DST","248"
"A.J. Dillon","PHI",""
"Jalen Coker","CAR","242"
"Kendre Miller","NO","264"
"Tyler Loop","BAL","279"
"Ray-Ray McCloud III","ATL",""
"Harold Fannin Jr.","CLE","246"
"Younghoe Koo","ATL","277"
"Tennessee Titans","DST","240"
"Tory Horton","SEA","268"
"Spencer Rattler","NO",""
"Noah Gray","KC","260"
"Arizona Cardinals","DST",""
"Sean Tucker","TB",""
"Miami Dolphins","DST","251"
"Jimmy Garoppolo","LAR",""
"Chicago Bears","DST",""
"Cam Little","JAC",""
"Efton Chism III","NE",""
"Kayshon Boutte","NE","291"
"Roman Wilson","PIT","259"
"Xavier Restrepo","TEN","261"
"Troy Franklin","DEN","304"
"Matt Gay","WAS",""
"Diontae Johnson","CLE","263"
"Ty Johnson","BUF",""
"Tyler Higbee","LAR","302"
"Devin Singletary","NYG","294"
"Brandin Cooks","NO","269"
"Taysom Hill","NO","273"
"Luke McCaffrey","WAS",""
"Noah Fant","CIN","274"
"Jalen Nailor","MIN",""
"Cincinnati Bengals","DST",""
"Andrei Iosivas","CIN","288"
"Jordan Whittington","LAR","282"
"Oronde Gadsden II","LAC","283"
"Tre Tucker","LV",""
"Ben Sinnott","WAS","285"
"Christian Watson","GB","289"
"Jalen Tolbert","DAL","305"
"Tanner McKee","PHI",""
"Tutu Atwell","LAR","290"
"Cairo Santos","CHI",""
"Indianapolis Colts","DST","292"
"Las Vegas Raiders","DST","293"
"Devaughn Vele","DEN",""
"Daniel Carlson","LV","308"
"Jacksonville Jaguars","DST","296"
"Khalil Herbert","IND","297"
"New Orleans Saints","DST","298"
"Marquez Valdes-Scantling","SEA","299"
"Jermaine Burton","CIN",""
"Damien Martinez","SEA","301"
"Joshua Karty","LAR",""
"Kenneth Gainwell","PIT",""
"KeAndre Lambert-Smith","LAC",""
"Samaje Perine","CIN",""
"Will Reichard","MIN",""
"Cleveland Browns","DST",""
"Emanuel Wilson","GB",""
"Jake Moody","SF",""
"Dameon Pierce","HOU",""
"Kimani Vidal","LAC",""
"Elijah Moore","BUF",""
"Noah Brown","WAS",""
"Phil Mafah","DAL",""
"Atlanta Falcons","DST",""
"Isaiah Davis","NYJ",""
"Jaylin Lane","WAS",""